iter	Passed	Remaining
709	1936	791
710	1939	788
711	1942	785
712	1944	782
713	1948	780
714	1951	777
715	1953	774
716	1956	772
717	1958	769
718	1961	766
719	1964	763
720	1966	760
721	1968	758
722	1971	755
723	1974	752
724	1977	750
725	1979	747
726	1982	744
727	1984	741
728	1986	738
729	1989	735
730	1992	733
731	1994	730
732	1997	727
733	1999	724
734	2002	721
735	2004	719
736	2007	716
737	2009	713
738	2012	710
739	2014	707
740	2017	705
741	2019	702
742	2022	699
743	2025	696
744	2027	693
745	2029	691
746	2032	688
747	2035	685
748	2037	682
749	2040	680
750	2042	677
751	2045	674
752	2047	671
753	2050	668
754	2053	666
755	2055	663
756	2058	660
757	2060	657
758	2063	655
759	2065	652
760	2068	649
761	2071	647
762	2074	644
763	2076	641
764	2079	638
765	2081	635
766	2084	633
767	2086	630
768	2089	627
769	2091	624
770	2093	621
771	2096	619
772	2098	616
773	2101	613
774	2104	610
775	2106	608
776	2109	605
777	2112	602
778	2114	599
779	2117	597
780	2120	594
781	2122	591
782	2124	588
783	2127	586
784	2130	583
785	2132	580
786	2134	577
787	2137	575
788	2139	572
789	2142	569
790	2145	566
791	2148	564
792	2150	561
793	2152	558
794	2155	555
795	2157	552
796	2160	550
797	2162	547
798	2165	544
799	2168	542
800	2170	539
801	2173	536
802	2176	533
803	2179	531
804	2181	528
805	2184	525
806	2187	523
807	2190	520
808	2193	517
809	2195	515
810	2198	512
811	2200	509
812	2203	506
813	2205	503
814	2207	501
815	2210	498
816	2213	495
817	2216	493
818	2219	490
819	2221	487
820	2224	484
821	2226	482
822	2228	479
823	2231	476
824	2234	473
825	2236	471
826	2239	468
827	2241	465
828	2244	462
829	2246	460
830	2250	457
831	2252	454
832	2254	452
833	2257	449
834	2260	446
835	2262	443
836	2265	441
837	2268	438
838	2270	435
839	2272	432
840	2275	430
841	2278	427
842	2280	424
843	2283	422
844	2286	419
845	2288	416
846	2291	413
847	2294	411
848	2296	408
849	2299	405
850	2301	403
851	2304	400
852	2306	397
853	2309	394
854	2312	392
855	2314	389
856	2317	386
857	2319	383
858	2322	381
859	2324	378
860	2327	375
861	2329	373
862	2332	370
863	2335	367
864	2337	364
865	2340	362
866	2342	359
867	2344	356
868	2347	353
869	2349	351
870	2352	348
871	2355	345
872	2357	342
873	2360	340
874	2362	337
875	2365	334
876	2367	332
877	2370	329
878	2372	326
879	2375	323
880	2378	321
881	2381	318
882	2383	315
883	2386	313
884	2389	310
885	2391	307
886	2394	305
887	2397	302
888	2399	299
889	2402	296
890	2405	294
891	2408	291
892	2411	288
893	2413	286
894	2415	283
895	2418	280
896	2420	277
897	2423	275
898	2426	272
899	2428	269
900	2431	267
901	2433	264
902	2436	261
903	2438	258
904	2441	256
905	2443	253
906	2446	250
907	2449	248
908	2451	245
909	2454	242
910	2457	240
911	2459	237
912	2462	234
913	2465	231
914	2467	229
915	2470	226
916	2473	223
917	2476	221
918	2478	218
919	2481	215
920	2483	213
921	2486	210
922	2488	207
923	2491	204
924	2493	202
925	2496	199
926	2498	196
927	2501	194
928	2503	191
929	2507	188
930	2509	186
931	2513	183
932	2515	180
933	2518	177
934	2521	175
935	2524	172
936	2526	169
937	2529	167
938	2531	164
939	2534	161
940	2537	159
941	2540	156
942	2542	153
943	2545	150
944	2547	148
945	2550	145
946	2553	142
947	2555	140
948	2558	137
949	2560	134
950	2563	132
951	2566	129
952	2569	126
953	2572	124
954	2574	121
955	2577	118
956	2579	115
957	2582	113
958	2585	110
959	2587	107
960	2590	105
961	2592	102
962	2595	99
963	2597	97
964	2600	94
965	2602	91
966	2605	88
967	2608	86
968	2610	83
969	2613	80
970	2615	78
971	2618	75
972	2620	72
973	2623	70
974	2626	67
975	2628	64
976	2631	61
977	2633	59
978	2636	56
979	2638	53
980	2641	51
981	2644	48
982	2646	45
983	2649	43
984	2651	40
985	2654	37
986	2657	34
987	2659	32
988	2662	29
989	2665	26
990	2667	24
991	2670	21
992	2673	18
993	2675	16
994	2678	13
995	2680	10
996	2683	8
997	2686	5
998	2689	2
999	2691	0
